artifact__title,artifact__title_english,artifact__summary,artifact__identifier,artifact__type,artifact__type_label,artifact__date_published,artifact__date_published_year,artifact__date_circa,artifact__uri,artifact__img,artifact__doi,artifact__publication_place,artifact__publisher,artifact__rights,artifact__rights_holder,artifact__rights_uri,artifact__tags,artifact__copyright,artifact__props__Example_Label,artifact__hidden_props__Example_Label,artifact__related_urls,artifact__isbn_online,artifact__isbn_print,artifact__issn_online,artifact__issn_print,artifact__series,artifact__people,artifact__people__author,artifact__people__editor,artifact__access_type,artifact__access_orgs,artifact__search_props__Example_Label,artifact__country,artifact__high_res_thumbnail,artifact__royalty_to_id,artifact__readable,collection__uuid,file__content_type,file__name,file__media_type,file__uuid,file__url,file__language,file__fulltext_s3_url,file__fulltext_paginated_s3_url,file__toc,file__viewer_settings,file__size,file__pages,file__key_terms,file__file_hash
PIRLS 2021 U.S. Highlights Web Report,,"The Progress in International Reading Literacy Study (PIRLS) is an international comparative study that measures 4th-grade reading performance every 5 years. PIRLS provides valuable information on the reading literacy of students in the United States and how their reading performance compares to that of students in other parts of the world. The study also surveys students’ attitudes toward reading and their reading habits. In addition, students’ principals answer questions about students’ school experiences. The United States has participated in every administration of PIRLS since its inception in 2001. A total of 65 education systems participated in the 2021 PIRLS assessment.",,report,,2023-05-16,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2023054,,,,NCES,,,,Achievement|achievement gap |Achievement (Student)|online reading|reading|Assessment|Fourth-Graders|International Comparisons|online reading literacy|reading literacy|Mathematics/Science Education|Reading|Student Outcomes,,,,,,,,,,,"Martin Hooper (AIR)|Rebecca Shipan (AIR)|Kristin Flanagan (Westat), Jasmine Park (AIR).",,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/surveys/pirls/pirls2021/index.asp,,,,,,,,,
Supporting the California Department of Education in Examining Data to Inform the Setting of Thresholds on the California Alternate English Language Proficiency Assessments for California,,"Staff from the California Department of Education (CDE) will present findings to the State Board of Education (SBE) from a project CDE conducted with analytic technical assistance from the Regional Educational Laboratory (REL) West. The SBE meeting will take place on May 18 and 19, 2023 at the California State Board of Education, 1430 N Street, Room 1101, Sacramento, California. This item is currently placed as the third item the SBE will take up, making it likely to be presented around midday on May 18.",,brief,,2023-05-18,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2023002,,,,REL,,,,English Language Learners (ELL)|English Language Proficiency|States|California,,,,,,,,,,,REL West,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/rel/regions/west/pdf/SupportingCDEThresholdsMemo.pdf,,,,,,,,,
Possible Ways of Increasing College Access Among Adults from Underserved Backgrounds: A Study of College Transition Text-Based Messaging,,"For adults with low incomes and potential first-generation college-goers, enrolling in college can be challenging. The U.S. Department of Education-funded Educational Opportunity Centers (EOCs) provide supports to help navigate some of the barriers to enrollment, including assistance with completing college and financial aid application processes, academic advising, and personal counseling. This study tested a text messaging program provided as a supplement to EOCs' typical services. The program included a set of personalized, automated text messages focused on how to secure financial aid, complete key college enrollment steps, and navigate other potential barriers to college entry. Clients from 18 EOCs were randomly assigned to receive the text messages in addition to typical EOC services or to receive typical EOC services only. The study compared the Free Application for Federal Student Aid (FAFSA) completion and college enrollment rates of these two groups to determine the effectiveness of the messaging program.",,report,,2023-05-04,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=NCEE2023003,,,,NCEE,,,,Access To Education|Students|transition to college|Transition To College,,,,,,,,,,,"Miller, C.|O’Donoghue, R.|Cullinan, D.|Perera, S.|Mayer, A.|Page, L.",,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/pubs/2023003/pdf/2023003r.pdf,,,,,,,,,
Condition of Education 2023,,The Condition of Education 2023 is a congressionally mandated annual report summarizing the latest data from NCES and other sources on education in the United States. This report is designed to help policymakers and the public monitor educational progress.,,report,,2023-05-24,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2023144REV,,,,NCES,,,,,,,,,,,,,,,"Irwin, V.|NCES|Wang, K.|Tezil, T.|Zhang, J.|Filbey, A.|Jung, J.|AIR|Bullock Mann, F.|Dilig, R.|Parker, S.|RTI",,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/programs/coe/,,,,,,,,,
Revenues and Expenditures for Public Elementary and Secondary Education: FY 21 (NCES 2023-301),,"The finance tables introduce new data for national and state-level public elementary and secondary revenues and expenditures for fiscal year (FY) 2021. Specifically, the tables include the following school finance data:",,table-chart-graph,,2023-05-17,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2023301,,,,NCES,,,,Expenditures|elementary and secondary schools|federal government for education|Finance|elementary and secondary schools,,,,,,,,,,,Stephen Q. Cornman|Malia Howell|Jeremy Phillips,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2023/2023301.pdf,,,,,,,,,
Good Behavior Game Intervention Report,,"This What Works Clearinghouse (WWC) intervention report summarizes the research on the effectiveness of Good Behavior Game and provides detailed information about program implementation and cost. Good Behavior Game is a classroom management strategy that aims to help teachers improve student social skills, minimize disruptive behaviors, and create a positive learning environment. Teachers place students into teams and reward them for demonstrating appropriate behaviors and following classroom rules. Based on 16 studies that meet standards, the WWC found strong evidence that Good Behavior Game positively impacted student behavior and promising evidence that Good Behavior Game positively impacted teacher practice, student writing conventions, and student writing productivity. The WWC found uncertain effects on literacy and math achievement, student intrapersonal competencies, and school climate.",,report,,2023-05-09,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=WWC2023004,,,,WWC,,,,Classroom  |classroom management|Games|Students|social factors,,,,,,,,,,,WWC,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/wwc/Docs/InterventionReports/WWC_GBG_IR-report.pdf,,,,,,,,,
Class-Wide Function-Related Intervention Teams (CW-FIT) Intervention Report,,"This What Works Clearinghouse (WWC) intervention report summarizes the research on the effectiveness of Class-Wide Function-Related Intervention Teams (CW-FIT) and provides detailed information about program implementation and cost. CW-FIT is a classroom management strategy that aims to help teachers improve student behavior and create a positive learning environment. Teachers establish classroom rules, provide instruction on target skills, place students into teams, and then reward teams for demonstrating target skills. Based on eight studies that meet standards, the WWC found strong evidence that CW-FIT positively impacted student behavior and promising evidence that CW-FIT positively impacted teacher practice.",,report,,2023-05-16,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=WWC2023005,,,,WWC,,,,Classroom  |Research Design|Testing,,,,,,,,,,,WWC,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/wwc/Docs/InterventionReports/WWC_CWFIT_IR-report.pdf,,,,,,,,,
2023 Long-Term Trend Reading and Mathematics Assessment: Highlighted Results at Age 13 for the Nation,,"This report presents the results of the National Assessment of Educational Progress (NAEP) long-term trend assessments in reading and mathematics administered during the 2022–23 school year to a nationally representative sample of 13-year-old students. Long-term trend assessments were first administered in the early 1970s; results are available for 14 prior reading assessments dating back to 1971 and 13 prior mathematics assessments dating back to 1973. This highlights report focuses on 2023 results compared to the previous long-term trend assessment in the 2019-20 school year. This report provides trend results in terms of average scale scores and scores for lower-, middle-, and higher-performing students at five selected percentiles. In addition to overall and percentile scores, results are reported by race/ethnicity, gender, type of school, and other demographic groups. In addition, the report provides results from the student survey questionnaire about student absenteeism, reading habits, and mathematics course taking.",,statistical-publication,,2023-06-21,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2023067,,,,NCES,,,,Education Demographics|Eighth-Graders|Elementary Education|Long-term trend|NAEP,,,,,,,,,,,NCES,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://www.nationsreportcard.gov/highlights/ltt/2023/,,,,,,,,,
Conducting Implementation Research in Impact Studies of Education Interventions: A Guide for Researchers,,"Implementation analyses conducted as part of impact studies can help educators know whether a tested intervention is likely to be a good fit for their own settings. This guide can help researchers design and conduct these kinds of analyses. The guide provides steps and recommendations about ways to specify implementation research questions, assess whether and how the planned intervention is implemented, document the context in which the intervention is implemented, and measure the difference between the intervention and what members of the control group receive. It presents strategies for analysis and reporting about these topics, and also for linking implementation and impact findings. The guide offers key definitions, examples, templates, and links to resources.",,toolkit-how-to,,2023-06-27,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=NCEE2023005,,,,NCEE,,,,Educational Research|Implementation Practices|Intervention,,,,,,,,,,,"Hill, C. J.|Scher, L.|Haimson, J.|Granito, K.",,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/pubs/2023005/pdf/2023005.pdf,,,,,,,,,
Reading Recovery® Intervention Report,,"This new What Works Clearinghouse intervention report summarizes the evidence on Reading Recovery®, updating an earlier report from 2013, and provides detailed information about program implementation and cost. Reading Recovery® is a supplemental, one-on-one tutoring program designed to help students in grade 1 who score below grade level in reading. The program aims to improve student reading and writing skills by providing one-on-one tutoring and tailoring lessons to each student. Trained Reading Recovery® teachers deliver the tutoring in daily 30-minute sessions over the course of 12 to 20 weeks. Based on two studies that meet WWC standards, there is moderate evidence that Reading Recovery® positively impacted student achievement in literacy immediately after the intervention. There is also promising evidence that Reading Recovery® positively impacted writing productivity and receptive communication immediately after the intervention and writing conventions 3 years after the intervention. Reading Recovery® had uncertain effects on math achievement 3 years after the intervention and on general academic achievement 10 years after the intervention.",,report,,2023-06-28,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=WWC2023006,,,,WWC,,,,Elementary Education|Literacy|Reading|struggling readers|Tutoring|Writing,,,,,,,,,,,WWC,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/wwc/Docs/InterventionReports/WWC_RR_IR-report.pdf,,,,,,,,,
2019–20 National Postsecondary Student Aid Study (NPSAS:20): First Look at Student Financial Aid Estimates for 2019–20,,"This First Look publication provides the first results of the 2019–20 National Postsecondary Student Aid Study (NPSAS:20), the most comprehensive national study of student financing of postsecondary education in the United States. This report includes information for about 80,800 undergraduate students and 19,700 graduate students attending 2,200 postsecondary institutions in the 50 states, the District of Columbia, and Puerto Rico. This report describes the percentages of students receiving various types of financial aid and average amounts received, by type of institution attended, gender, race/ethnicity, attendance pattern, and income level. Percentages and average amounts are additionally described by dependency status for undergraduate students and by graduate program for graduate students. Supplemental tables feature state-level percentages of students receiving aid and average amounts received by undergraduate students.",,report,,2023-07-26,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2023466,,,,NCES,,,,"Finance|higher education|Financing|higher education|Graduate Education|financing of|Graduate Students|Higher Education|financing of|Income|Income, Family|Institutional Aid|Part-Time Enrollment in Higher Education|Postsecondary Education|attendance patterns|finance|institutional characteristics|student characteristics|Student Financial Aid|Students|financial aid",,,,,,,,,,,Margaux Cameron|Ruby Johnson|T. Austin Lacy|Joanna Wu|Peter Siegel|Jordan Holley|Jennifer Wine|RTI International,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2023/2023466.pdf,,,,,,,,,
Principal Attrition and Mobility: Results From the 2021–22 Principal Follow-up Survey to the National Teacher and Principal Survey,,This First Look report provides descriptive statistics and basic information from the Public and Private School Principal Status Data Files of the 2021–22 Principal Follow-up Survey (PFS). The PFS is a longitudinal component of the National Teacher and Principal Survey (NTPS).,,report,,2023-07-31,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2023046,,,,NCES,,,,Principals|Public and private school|Private Schools|Public Schools|Retention (Of Employees)|Schools,,,,,,,,,,,Soheyla Taie|Laurie Lewis,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2023/2023046.pdf,,,,,,,,,
Forum Guide to Understanding the School Courses for the Exchange of Data (SCED) Classification System,,"The Forum Guide to Understanding the School Courses for the Exchange of Data (SCED) Classification System offers a comprehensive overview of the voluntary, common SCED classification system. SCED was developed to meet the need among local, state, and federal agencies for widely understood, standardized prior-to-secondary and secondary school course codes. The guide provides information on the development process, code structure, and element descriptions. Additionally, it offers best practices for SCED implementation and use. A companion publication, SCED Uses and Benefits, highlights user benefits and features case studies to illustrate SCED use.",,guide,,2023-08-02,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=NFES2023087,,,,NFES,,,,Coursetaking/Transcripts|classification|Data Analysis|Data Collection|Data Reporting|Elementary Education|High School|Secondary Education|Students|middle school,,,,,,,,,,,National Forum on Education Statistics,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2023/NFES2023087.pdf,,,,,,,,,
Changes in school climate during COVID-19 in a sample of Pennsylvania schools,,"To assess how school climate changed during the pandemic, the Pennsylvania Department of Education's (PDE's) Office for Safe Schools partnered with REL Mid-Atlantic to conduct a study using data from PDE's school climate survey. This survey, which is available on a voluntary basis to any school in the state, provides a way to track school climate and identify schools that need additional support to improve school climate. The REL study analyzed changes in scores from a pre-pandemic year (2018/19) to the 2020/21 and 2021/22 school years. In a sample of Pennsylvania public schools that took the survey in all three years, students and teachers reported more positive perceptions of school climate in the 2020/21 school year, during hybrid and remote learning, compared to 2018/19 (before the pandemic) and 2021/22 (when schools had returned to fully in-person operation). This was an unexpected positive bump in the year in which schools experienced the most pandemic-related disruption. In contrast, school climate scores were steady across the years before COVID-19. The study also found no evidence of a significant decline in school climate scores between 2018/19 and 2021/22, suggesting the pandemic did not have a lasting negative effect on school climate in this sample of schools. One important caveat of this study is that the sample of schools was small and not representative of the rest of the state of Pennsylvania. In the future, increasing the number of schools completing the school climate survey over multiple years will allow PDE to conduct more informative analyses of the relationship between school climate and other factors, such as interventions to improve school climate.",,report,,2023-08-10,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2023003,,,,REL,,,,Climate of Schools|COVID Response|States,,,,,,,,,,,Whitney Kozakowski: Principal Investigator|Katlyn Lee Milless: Researcher|Sonia Alves: Researcher|Michelle Bennett: Research Analyst,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/rel/regions/midatlantic/pdf/MA5.1.5.3-2023-003-Findings.pdf,,,,,,,,,
Profile of State Data Capacity in 2019 and 2020: Statewide Longitudinal Data Systems (SLDS) Survey Descriptive Statistics,,"This report presents aggregate summary statistics of Statewide Longitudinal Data Systems (SLDS) capacity based on state-level response to the 2019 & 2020 SLDS survey collection, as well as two data files of individual-level state response (2019 and 2020).",,statistical-publication,,2023-08-14,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2022051,,,,NCES,,,,Longitudinal Studies,,,,,,,,,,,Sarah Meholick,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2022/2022051.pdf,,,,,,,,,
Biliteracy Seals in a Large Urban District in New Mexico: Who Earns Them and How Do They Impact College Outcomes?,,"New Mexico is one of 48 states that offer a biliteracy seal to high school graduates to recognize their proficiency in a non-English language. The Regional Educational Laboratory Southwest English Learners Research Partnership collaborated with a large urban district in New Mexico to study the characteristics and college readiness of students who earn different types of biliteracy seals (state, district, and global seals) and whether earning a seal improves college outcomes. The study used data from three cohorts of students who graduated from high school in the district from 2017/18 to 2019/20. The study examined the characteristics and college readiness of students who earned different types of seals, the number of students who met some requirements for a seal but did not earn one, and the effect of earning a seal on college outcomes.",,report,,2022-12-01,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2023140,,,,REL,,,,English Language Learners (ELL)|English Language Proficiency|Foreign Languages|States,,,,,,,,,,,Kata Mihaly|Brenda Arellano|Shannon Prier,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/rel/regions/southwest/pdf/REL_2023140.pdf,,,,,,,,,
Indicators of School Performance in Texas,,"The School Improvement Division of the Texas Education Agency (TEA) identifies, monitors, and supports low-performing schools. To identify low-performing schools, TEA assigns annual academic accountability ratings to its districts and schools, but these ratings are only provided once per year and are vulnerable to disruptions in the assessment system. Schools that receive low accountability ratings do not meet accountability expectations and are considered low-performing.",,report,,2022-12-05,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2023146,,,,REL,,,,Performance|Schools|States,,,,,,,,,,,Amy Feygin|Marshall Garland|Yibing Li|Mitchell Kilborn,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/rel/regions/southwest/pdf/REL_2023146.pdf,,,,,,,,,
Encouraging Families to Visit a Literacy Website: A Randomized Study of the Impact of Email and Text Message Communications,,The Arkansas Department of Education partnered with the Regional Educational Laboratory Southwest to study the feasibility and effectiveness of using brief email and text message communications to increase the number of parent and guardian visits to the Reading Initiative for Student Excellence (R.I.S.E.) state literacy website.,,report,,2022-12-07,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2023143,,,,REL,,,,Elementary Education|Internet|Literacy,,,,,,,,,,,Ashley Pierson|Amy Feygin|Jenna Zacamy|Candace Hester|Andrew Jaciw|Anja Kurki,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/rel/regions/southwest/pdf/REL_2023143.pdf,,,,,,,,,
Revenues and Expenditures for Public Elementary and Secondary School Districts: FY 20,,"This publication includes tables with data on public elementary and secondary education revenues and expenditures at the local education agency (LEA) or school district level for fiscal year (FY) 2020. Specifically, the tables include finance data on the following topics:",,report,,2022-12-08,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2022303,,,,NCES,,,,Elementary Education|Expenditures|elementary and secondary schools|federal government for education|Finance|elementary and secondary schools|High School|Revenues|elementary/secondary schools|States,,,,,,,,,,,"Cornman, S.Q.|Ampadu, O.|Hanak, K.|Wheeler, S.",,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2022/2022303.pdf,,,,,,,,,
The Louisiana Believe and Prepare Educator Preparation Reform: Findings from the Pilot and Early Implementation Years,,"Believe and Prepare is a teacher preparation reform implemented by the Louisiana Department of Education in collaboration with school systems and teacher preparation programs across the state. It was piloted in the 2014/15 school year and became mandatory in July 2018 for incoming teacher candidates in all 18 institutions of higher education that offer traditional teacher preparation programs. The reform focused on competency-based curricula, extended clinical experiences, and rigorous mentor teacher training. A central requirement of the reform is that teacher candidates must participate in a yearlong residency with a mentor teacher. This replaced the prior shorter-term student teaching requirement, typically six weeks.",,report,,2022-12-12,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2023147,,,,REL,,,,States|Teachers|characteristics of,,,,,,,,,,,Kata Mihaly|Dan Goldhaber|Zeyu Xu,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/rel/regions/southwest/pdf/REL_2023147.pdf,,,,,,,,,
Characteristics of 2020–21 Public and Private K–12 School Teachers in the United States: Results From the National Teacher and Principal Survey,,This First Look report provides descriptive statistics and basic information from the 2020–21 National Teacher and Principal Survey Public School Teacher and Private School Teacher Data files.,,report,,2022-12-13,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2022113,,,,NCES,,,,SASS|Teachers|characteristics of|education/preparation|instructional practices of|job satisfaction|perceptions and attitudes|public school|qualifications of|salaries of|supply and demand|teacher employment,,,,,,,,,,,Soheyla Taie|Laurie Lewis,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2022/2022113.pdf,,,,,,,,,
Characteristics of 2020–21 Public and Private K–12 School Principals in the United States: Results From the National Teacher and Principal Survey,,This First Look report provides descriptive statistics and basic information from the 2020–21 National Teacher and Principal Survey Public School Principal and Private School Principal Data files.,,report,,2022-12-13,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2022112,,,,NCES,,,,Principals|Public and private school|public schools|SASS,,,,,,,,,,,Soheyla Taie|Laurie Lewis,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2022/2022112.pdf,,,,,,,,,
Characteristics of 2020–21 Public and Private K–12 Schools in the United States: Results From the National Teacher and Principal Survey,,This First Look report provides descriptive statistics and basic information from the 2020–21 National Teacher and Principal Survey Public School and Private School Data files.,,report,,2022-12-13,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2022111,,,,NCES,,,,Charter School|Private Schools|Public Schools|elementary|elementary/secondary|secondary|SASS|Schools|characteristics of,,,,,,,,,,,Soheyla Taie|Laurie Lewis,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2022/2022111.pdf,,,,,,,,,
Using Education Indicators: A Forum Guide for State and Local Education Agencies,,"This guide was developed to provide timely and useful information on education indicators, how their collection and use have changed over time, and how agencies use them strategically. Since the publication of the 2005 document Forum Guide to Education Indicators (https://nces.ed.gov/forum/pub_2005802.asp), many advancements in education have impacted indicators, including changes to data systems (such as improved longitudinal data systems), federal data collections and accountability systems, legislation, mandatory public reporting, privacy protections, and data security. This new guide highlights best practices for using indicators, adjustments over time to the collection and use of indicators, shifts in types of relevant indicators, and what possibilities local and state education agencies see for the effective use of indicators in the future.",,guide,,2022-12-16,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=NFES2022132,,,,NFES,,,,Data Analysis|Data Collection|Data Reporting|Data Strategy|Data Use|Education Indicators,,,,,,,,,,,National Forum on Education Statistics,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2022/NFES2022132.pdf,,,,,,,,,
"2021-22 Common Core of Data (CCD) Universe Files, Provisional Version 1a",,"These files are the product of the CCD data collection for the 2021–22 school year. Data are reported at state, district, and school levels and include staff counts by professional category, as well as student membership disaggregated by grade, race/ethnicity, and sex. Also included are school-level counts of students eligible for free and reduced-price lunch. Along with the data files, four web tables summarizing select CCD data elements including the number and status of schools and local education agencies, as well as several CCD indicators by state, are also available.",,dataset,,2022-12-19,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2023152,,,,NCES,,,,Age|Enrollment|elementary and secondary schools|Gender|Public Schools|elementary/secondary|Race/Ethnicity|Socioeconomic Status|Staff|elementary and secondary schools|States,,,,,,,,,,,Chen-Su Chen,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,"https://nces.ed.gov/ccd/files.asp#Fiscal:2,SchoolYearId:36,Page:1",,,,,,,,,
"Enrollment and Employees in Postsecondary Institutions, Fall 2021; and Financial Statistics and Academic Libraries, Fiscal Year 2021 (Provisional Data)",,This provisional set of web tables presents data findings from the Integrated Postsecondary Education Data System (IPEDS) spring 2022 data collection. The spring 2022 collection includes four survey components: Enrollment for fall 2021; Finance for fiscal year 2021; data on employees in postsecondary education for Fall 2021; and data for Academic Libraries for fiscal year 2021.,,table-chart-graph,,2022-12-19,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2022130,,,,NCES,,,,Enrollment|higher education institutions|Finance|higher education institutions,,,,,,,,,,,Scott Ginder,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/ipeds/use-the-data/survey-components,,,,,,,,,
"Public high school 4-year adjusted cohort graduation rate (ACGR), by race/ethnicity and selected demographic characteristics for the United States, the 50 states, and the District of Columbia: School Year 2019-20",,"The Public High School 4-year Adjusted Cohort Graduation Rate (ACGR) Table provides data at the national and state level for the fifty states and the District of Columbia to meet reporting requirements of the Every Student Succeeds Act (ESSA). The table displays an overall national rate, a state rate, national and state rates for racial/ethnic groups and other demographics. State data are included for the third time for ""Homeless enrolled"" and ""Foster care."" The table represents EDFacts File Specification 150 (Data Group 695), School year 2019–20; As of May 19th, 2021.",,table-chart-graph,,2022-12-19,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2022076,,,,NCES,,,,"Graduation Rates, High School|High School|Public Schools|secondary|Race/Ethnicity|School Districts|demographics of|Secondary Education|longitudinal studies|States",,,,,,,,,,,,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/ccd/tables/ACGR_RE_and_characteristics_2019-20.asp,,,,,,,,,
Dual Language Programs Intervention Report,,"This What Works Clearinghouse (WWC) intervention report summarizes the research on dual language programs. Dual language programs can help native English speakers develop proficiency in a second language and English learners develop proficiency in both their native language and English. Typically, in dual language programs, classroom teachers instruct students from an early age and over multiple years in both English and a second language called the partner language. These programs vary widely by partner language, primary language of the student population, and duration. Most of the studies examined do not meet WWC standards. Based on the two studies that meet WWC standards, the WWC found moderate evidence that dual language programs positively impacted student literacy achievement in English compared with instructional programs in English only. The WWC found uncertain effects on science and mathematics achievement. More high-quality research  is needed to understand the effects of dual language programs in varied contexts.",,report,,2022-12-29,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=WWC2023001,,,,WWC,,,,English Language Learners (ELL)|English Language Proficiency|Foreign Languages|Language Proficiency,,,,,,,,,,,WWC,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/wwc/Docs/InterventionReports/WWC_DLP_IR-Report.pdf,,,,,,,,,
Interpreting Findings from an Early Learning Inventory Pilot Study,,"This project was part of a larger REL Southwest coaching series to support the Oklahoma State Department of Education (OSDE) in using an early learning inventory (ELI) to assess children’s knowledge and skills at kindergarten entry and to improve state-funded early learning programs. The goals of the project were to assist OSDE in (1) preparing to implement an ELI pilot study, (2) preparing for sampling and recruitment for the ELI pilot study, (3) developing data collection measures to collect information during the pilot study about how the ELI is implemented and teacher outcomes, and (4) analyzing and interpreting data from the ELI pilot study. The coaching was delivered over the course of five sessions from fall 2020 to fall 2022. OSDE staff were the primary participants.",,brief,,2023-01-23,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2023148,,,,REL,,,,Early Childhood Education|States,,,,,,,,,,,,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/rel/Products/Event/106947,,,,,,,,,
Reading Apprenticeship® Intervention Report,,This What Works Clearinghouse (WWC) intervention report summarizes the research on the effectiveness of,,report,,2023-01-26,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=WWC2023003,,,,WWC,,,,Middle School|Reading|Teachers|professional development,,,,,,,,,,,WWC,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/wwc/Docs/InterventionReports/WWC_RA_IR-report.pdf,,,,,,,,,
High School Counseling and College Financial Aid,,"This Data Point uses data from the High School Longitudinal Study of 2009 (HSLS:09), a national study of more than 23,000 ninth-graders in 2009. Students answered surveys between 2009 and 2016. College transcripts and financial aid records were collected in 2017–18 in the Postsecondary Education Transcript Study and Student Financial Aid Records Collection (PETS-SR).This Data Point investigates whether students who expected to go to college after high school meet with a high school counselor about financial aid and completed the Free Application for Federal Student Aid (FAFSA), and if meetings and completion vary varied by parental education. It also describes whether students who meet with a high school counselor about financial aid received need-based or merit-based grants in college.",,report,,2023-01-31,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2023040,,,,NCES,,,,Guidance Counselors|High School|high school students|Secondary Education|longitudinal studies|Socioeconomic Status|Student Financial Aid|Students|financial aid,,,,,,,,,,,Shea|Meghan|Freeman|Brian|Warner-Griffin|Catharine,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2023/2023040/index.asp,,,,,,,,,
